iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,SEs_Accuracy,SEs_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
7,30,10,JuliaAIC_NeldMeader_AGP0,919.0817481195455,0.03253551500847821,0.1043317348657245,1.996,0.45810964706332385,-0.2740705329626985,0.21429335757462623,0.16874118263969018,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01695394515991211
7,30,10,JuliaAIC_bobyqa_AGP0,919.0817491580378,0.032494629880656864,0.10459540674291402,0.439,0.4692860204969235,-0.27913223033396817,0.21461030709964732,0.16905283010587208,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01695394515991211
7,30,10,JuliaAIC_NeldMeader_AGP1,919.0639203625336,0.02876522745361289,0.09870716500784303,15.817,0.4694018373080718,-0.2794339401198769,0.21466707723216305,0.16905368549199895,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01695394515991211
7,30,10,JuliaAIC_bobyqa_AGP1,919.0639223036081,0.028768059484883292,0.0983450724845606,3.01,0.4581491963424848,-0.2738602016120365,0.21426136646044694,0.1687399501583723,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01695394515991211
7,30,10,JuliaLRT_Fast,0.0,0.0,0.4344938929369848,0.481,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01695394515991211
7,30,10,JuliaLRT_Slow,0.0,0.0,0.43503275926242824,1.901,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01695394515991211
8,30,10,NelderMead_nAGQ0,948.230408201331,0.0006084685052727056,0.05723222039224156,1.131397008895874,0.6680819528752302,0.3178812634247388,0.19490045321090324,0.16717103811809908,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015974998474121094
8,30,10,NelderMead_nAGQ1,948.2174086857094,0.0005729010711899333,0.30189206359082366,6.606645107269287,0.6778066721257381,0.3240187996073164,0.19680057253191358,0.31385479152307927,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015974998474121094
8,30,10,Bobyqa_nAGQ0,948.230408201331,0.0006084685052727056,0.05723222039224156,1.1564149856567383,0.6680819528752302,0.3178812634247388,0.19490045321090324,0.16717103811809908,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015974998474121094
8,30,10,Bobyqa_nAGQ1,948.2173643362931,0.000574306832441857,0.3020294381973332,3.1020419597625732,0.6776128282828543,0.32391576550369694,0.19678215086049022,0.3138441581874303,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015974998474121094
8,30,10,nloptwrap_nAGQ0,949.1769499474282,0.0008317686996555263,0.05023319616726189,0.2982020378112793,0.6667756711112891,0.3283647499668151,0.19951392702164272,0.16770648608315336,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015974998474121094
8,30,10,nloptwrap_nAGQ1,949.1727217495969,0.0005817046550869519,0.31707217092006784,0.911160945892334,0.6821740756403082,0.31426216779744365,0.19830616169329496,0.3141074345137229,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015974998474121094
8,30,10,R: LRT,0.0,0.0,0.2927284406988731,0.31818199157714844,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015974998474121094
8,30,10,JuliaAIC_NeldMeader_AGP0,948.2279986734145,0.000607648030175735,0.05741239914562157,4.088,0.6681027934429884,0.31769123562924106,0.19488570651585574,0.16719201753037405,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015974998474121094
8,30,10,JuliaAIC_bobyqa_AGP0,948.227998911522,0.0006077477912375367,0.05740173150268888,0.389,0.6957599300420729,0.0023072694114858634,0.1708249105656298,0.1655721204826991,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015974998474121094
8,30,10,JuliaAIC_NeldMeader_AGP1,949.2995104245924,4.6423014611065375e-5,0.9888817328895921,7.066,0.6779273974980283,0.317528093387426,0.1942932534082141,0.16735441400787754,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015974998474121094
8,30,10,JuliaAIC_bobyqa_AGP1,948.2177179961307,0.0004844743281588195,0.057783181796219225,5.341,0.6681049426959913,0.3177054487807463,0.1948888669071977,0.16719234233577454,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015974998474121094
