iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,SEs_Accuracy,SEs_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
5,30,10,nloptwrap_nAGQ1,1029.1042986247019,0.6375226239498892,0.19443660931905557,1.094892978668213,-0.09831886313999166,-0.35877202731558555,0.20867165298404577,0.2764962288501325,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015645980834960938
5,30,10,R: LRT,0.0,0.0,0.2032085267389779,0.32715797424316406,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015645980834960938
5,30,10,JuliaAIC_NeldMeader_AGP0,1028.957998478008,0.6454275008089071,0.039472066336338124,1.797,-0.09223199667746475,-0.3541713677741623,0.2004504776785708,0.17199201094434227,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015645980834960938
5,30,10,JuliaAIC_bobyqa_AGP0,1029.1300154282344,0.6505924303949195,0.03993987317203571,0.412,-0.10148625883877616,-0.35938709850325634,0.20060773028462967,0.17230607130365397,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015645980834960938
5,30,10,JuliaAIC_NeldMeader_AGP1,1028.931354102394,0.6129310235283202,0.037001427090715626,6.633,-0.09887415165290794,-0.3579129169739198,0.20038836838135907,0.17227402417459564,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015645980834960938
5,30,10,JuliaAIC_bobyqa_AGP1,1028.9315123984798,0.6217210607691231,0.03774814020537547,3.271,-0.0907710204437726,-0.35286654016949726,0.20040436930724542,0.17176385097432562,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015645980834960938
5,30,10,JuliaLRT_Fast,0.0,0.0,0.2264062343022611,0.677,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015645980834960938
5,30,10,JuliaLRT_Slow,0.0,0.0,0.2011425129585616,1.434,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015645980834960938
6,30,10,NelderMead_nAGQ0,1070.9033024322468,0.579556640165787,0.011036630224987473,1.9657042026519775,0.10334399051476577,-0.24296060935281852,0.18653057436249434,0.0955959409155165,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.017950773239135742
6,30,10,NelderMead_nAGQ1,1070.8758090072106,0.6114608073668775,0.26424318996080076,7.712292909622192,0.10058226249801779,-0.24788638844825828,0.19800072811746855,0.2220372263476924,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.017950773239135742
6,30,10,Bobyqa_nAGQ0,1070.9033024322468,0.579556640165787,0.011036630224987473,1.973945140838623,0.10334399051476577,-0.24296060935281852,0.18653057436249434,0.0955959409155165,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.017950773239135742
6,30,10,Bobyqa_nAGQ1,1070.8757814996497,0.6111707802678232,0.2637368782068433,4.338145017623901,0.10068897447000683,-0.2481535963829564,0.19804954575122982,0.2220410537033845,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.017950773239135742
6,30,10,nloptwrap_nAGQ0,1070.9061423817675,0.5793689452238928,0.011356511075751538,0.7423100471496582,0.1031879129196025,-0.24184340617702538,0.1861567022889123,0.09553239097557292,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.017950773239135742
