n,ConditionsOfInterest,Standard1,Standard2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
12,2,5,6,40,0.025,0,0,0.15,0.1,0.2,0.2,0.68,0.07,0.6,0.07,17.9022631
14,2,5,6,40,0.025,0,0,0.15,0.1,0.2,0.2,0.76,0.06,0.6,0.09,20.76137263
16,2,5,6,40,0.025,0,0,0.15,0.1,0.2,0.2,0.88,0.02,0.86,0.05,23.84378907
18,2,5,6,40,0.025,0,0,0.15,0.1,0.2,0.2,0.88,0.03,0.8,0.06,26.8935661
20,2,5,6,40,0.025,0,0,0.15,0.1,0.2,0.2,0.89,0.05,0.8,0.03,30.37709292
10,2,5,6,40,0.025,0.05,0,0.15,0.1,0.2,0.2,0.46,0.05,0.44,0.06,14.44720908
12,2,5,6,40,0.025,0.05,0,0.15,0.1,0.2,0.2,0.66,0.09,0.66,0.06,17.58178033
14,2,5,6,40,0.025,0.05,0,0.15,0.1,0.2,0.2,0.76,0.07,0.71,0.07,20.44595517
16,2,5,6,40,0.025,0.05,0,0.15,0.1,0.2,0.2,0.77,0.04,0.67,0.07,23.84103775
18,2,5,6,40,0.025,0.05,0,0.15,0.1,0.2,0.2,0.92,0.13,0.85,0.09,27.01338265
20,2,5,6,40,0.025,0.05,0,0.15,0.1,0.2,0.2,0.94,0.1,0.82,0.06,30.44461259
10,2,5,6,40,0.025,0.1,0,0.15,0.1,0.2,0.2,0.41,0.16,0.46,0.16,14.97947762
12,2,5,6,40,0.025,0.1,0,0.15,0.1,0.2,0.2,0.58,0.15,0.62,0.19,17.60716013
14,2,5,6,40,0.025,0.1,0,0.15,0.1,0.2,0.2,0.7,0.21,0.71,0.2,20.84948953
16,2,5,6,40,0.025,0.1,0,0.15,0.1,0.2,0.2,0.77,0.22,0.78,0.21,23.7020888
18,2,5,6,40,0.025,0.1,0,0.15,0.1,0.2,0.2,0.81,0.25,0.77,0.21,26.923952
20,2,5,6,40,0.025,0.1,0,0.15,0.1,0.2,0.2,0.84,0.27,0.85,0.29,30.00719885
10,2,5,6,70,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.84,0.33,0.77,0.33,22.2224358
12,2,5,6,70,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.86,0.29,0.83,0.37,26.22672233
14,2,5,6,70,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.95,0.43,0.92,0.48,30.99184335
16,2,5,6,70,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.97,0.35,0.95,0.43,36.17374488
18,2,5,6,70,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.99,0.42,0.98,0.45,42.12494985
20,2,5,6,70,-0.025,-0.1,0,0.15,0.1,0.2,0.2,0.99,0.49,0.98,0.56,47.16003705
10,2,5,6,70,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.79,0.13,0.73,0.13,21.41233848
12,2,5,6,70,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.95,0.08,0.81,0.08,26.94032853
14,2,5,6,70,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.95,0.06,0.84,0.13,31.43152616
16,2,5,6,70,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.98,0.14,0.93,0.19,36.88048745
18,2,5,6,70,-0.025,-0.05,0,0.15,0.1,0.2,0.2,1,0.12,0.95,0.13,41.19840298
20,2,5,6,70,-0.025,-0.05,0,0.15,0.1,0.2,0.2,0.99,0.16,0.99,0.19,46.11929532
10,2,5,6,70,-0.025,0,0,0.15,0.1,0.2,0.2,0.86,0.03,0.78,0.03,22.64290479
12,2,5,6,70,-0.025,0,0,0.15,0.1,0.2,0.2,0.91,0.04,0.85,0.04,27.00046407
14,2,5,6,70,-0.025,0,0,0.15,0.1,0.2,0.2,0.94,0.04,0.95,0.07,31.1691607
16,2,5,6,70,-0.025,0,0,0.15,0.1,0.2,0.2,0.97,0.04,0.96,0.05,36.74564467
18,2,5,6,70,-0.025,0,0,0.15,0.1,0.2,0.2,0.98,0,0.95,0.03,43.5563888
20,2,5,6,70,-0.025,0,0,0.15,0.1,0.2,0.2,1,0.05,0.97,0.07,46.89329583
10,2,5,6,70,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.22,0.32,0.17,0.33,21.03207587
12,2,5,6,70,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.39,0.29,0.2,0.38,25.44173847
14,2,5,6,70,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.42,0.38,0.22,0.46,29.89253845
16,2,5,6,70,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.51,0.36,0.32,0.45,37.29398025
18,2,5,6,70,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.54,0.46,0.3,0.45,41.27131337
20,2,5,6,70,-0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.58,0.5,0.44,0.58,47.31404084
10,2,5,6,70,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.22,0.15,0.14,0.15,20.70409904
12,2,5,6,70,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.35,0.08,0.16,0.08,25.79105818
14,2,5,6,70,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.39,0.06,0.25,0.08,30.99501448
16,2,5,6,70,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.45,0.15,0.25,0.21,36.63862835
18,2,5,6,70,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.64,0.13,0.41,0.16,42.33470048
20,2,5,6,70,-0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.66,0.17,0.39,0.21,49.05794398
10,2,5,6,70,-0.0125,0,0,0.15,0.1,0.2,0.2,0.29,0.02,0.12,0.02,21.25827043
12,2,5,6,70,-0.0125,0,0,0.15,0.1,0.2,0.2,0.29,0.03,0.18,0.03,26.50839733
14,2,5,6,70,-0.0125,0,0,0.15,0.1,0.2,0.2,0.48,0.04,0.2,0.06,30.40246478
16,2,5,6,70,-0.0125,0,0,0.15,0.1,0.2,0.2,0.53,0.04,0.3,0.05,37.2245879
18,2,5,6,70,-0.0125,0,0,0.15,0.1,0.2,0.2,0.52,0,0.3,0.03,42.10357497
20,2,5,6,70,-0.0125,0,0,0.15,0.1,0.2,0.2,0.67,0.01,0.36,0.03,49.94464795
10,2,5,6,70,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.18,0.11,0.16,0.12,21.09182971
12,2,5,6,70,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.3,0.09,0.16,0.12,26.40980555
14,2,5,6,70,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.44,0.14,0.21,0.11,30.36432753
16,2,5,6,70,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.41,0.13,0.25,0.15,35.8567237
18,2,5,6,70,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.46,0.11,0.27,0.19,40.16014562
20,2,5,6,70,-0.0125,0.05,0,0.15,0.1,0.2,0.2,0.59,0.11,0.37,0.15,47.44487213
10,2,5,6,70,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.1,0.2,0.05,0.28,21.48424172
12,2,5,6,70,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.28,0.22,0.18,0.26,26.1455216
14,2,5,6,70,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.26,0.34,0.28,0.34,30.48166593
16,2,5,6,70,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.38,0.44,0.27,0.51,36.40655878
18,2,5,6,70,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.35,0.43,0.28,0.53,40.5786931
20,2,5,6,70,-0.0125,0.1,0,0.15,0.1,0.2,0.2,0.51,0.42,0.44,0.49,46.32826432
10,2,5,6,70,0,-0.1,0,0.15,0.1,0.2,0.2,0.02,0.31,0.01,0.34,21.58798492
12,2,5,6,70,0,-0.1,0,0.15,0.1,0.2,0.2,0.04,0.33,0.01,0.37,26.41676525
14,2,5,6,70,0,-0.1,0,0.15,0.1,0.2,0.2,0.05,0.37,0.02,0.41,31.44718187
16,2,5,6,70,0,-0.1,0,0.15,0.1,0.2,0.2,0,0.4,0,0.46,36.45179025
18,2,5,6,70,0,-0.1,0,0.15,0.1,0.2,0.2,0.01,0.52,0,0.57,41.09360037
20,2,5,6,70,0,-0.1,0,0.15,0.1,0.2,0.2,0.05,0.5,0,0.51,47.58923718
10,2,5,6,70,0,-0.05,0,0.15,0.1,0.2,0.2,0.02,0.08,0.01,0.11,21.99252905
12,2,5,6,70,0,-0.05,0,0.15,0.1,0.2,0.2,0.03,0.11,0,0.11,26.77993157
14,2,5,6,70,0,-0.05,0,0.15,0.1,0.2,0.2,0,0.06,0,0.13,31.57561287
16,2,5,6,70,0,-0.05,0,0.15,0.1,0.2,0.2,0.01,0.15,0.01,0.18,37.37299102
18,2,5,6,70,0,-0.05,0,0.15,0.1,0.2,0.2,0,0.09,0,0.13,42.23799994
20,2,5,6,70,0,-0.05,0,0.15,0.1,0.2,0.2,0.03,0.17,0.01,0.19,48.14501982
10,2,5,6,70,0,0,0,0.15,0.1,0.2,0.2,0.01,0.04,0,0.08,22.1932189
12,2,5,6,70,0,0,0,0.15,0.1,0.2,0.2,0.01,0.05,0,0.06,26.36896417
14,2,5,6,70,0,0,0,0.15,0.1,0.2,0.2,0.01,0.04,0.02,0.03,32.29862248
16,2,5,6,70,0,0,0,0.15,0.1,0.2,0.2,0.02,0.03,0,0.04,37.1908281
18,2,5,6,70,0,0,0,0.15,0.1,0.2,0.2,0.01,0.05,0,0.05,41.66254345
20,2,5,6,70,0,0,0,0.15,0.1,0.2,0.2,0.01,0.04,0,0.03,46.6984296
